 1	0.000000
 2	0.000000
 3	0.021952
 4	0.021995
 5	0.021968
 6	0.021983
 7	0.021935
 8	0.021968
 9	0.021968
10	0.021939
11	0.020072
12	0.016692
13	0.014754
14	0.012007
15	0.012592
16	0.012651
17	0.012617
18	0.012668
19	0.012620
20	0.012314
21	0.010674
22	0.009897
23	0.009049
24	0.009082
25	0.009034
26	0.009866
27	0.011100
28	0.016217
29	0.021971
30	0.021937
31	0.021966
32	0.021929
33	0.021979
34	0.021993
35	0.021979
36	0.021932
37	0.021989
38	0.018410
39	0.016755
40	0.017472
41	0.017449
42	0.017480
43	0.017413
44	0.017468
45	0.021651
46	0.021673
47	0.017259
48	0.013499
49	0.017611
50	0.017487
51	0.014628
52	0.012664
53	0.012257
54	0.011492
55	0.011442
56	0.011410
57	0.011828
58	0.012614
59	0.013817
60	0.016199
61	0.018974
62	0.021920
63	0.021978
64	0.021931
65	0.021934
66	0.021944
67	0.021926
68	0.021963
69	0.021944
70	0.021985
71	0.020959
72	0.017443
73	0.017487
74	0.021420
75	0.019459
76	0.015248
77	0.014711
78	0.012660
79	0.013575
80	0.014677
81	0.012318
82	0.011455
83	0.011407
84	0.011839
85	0.011574
86	0.011828
87	0.013544
88	0.016299
89	0.018105
90	0.021920
91	0.021963
92	0.021903
93	0.021973
94	0.021908
95	0.021992
96	0.021971
97	0.021987
98	0.021977
99	0.018027
100	0.013472
101	0.015093
102	0.016274
103	0.018441
104	0.021974
105	0.019815
106	0.021984
107	0.021975
108	0.021942
109	0.021972
110	0.018910
111	0.017467
112	0.017447
113	0.017983
114	0.021978
115	0.021145
116	0.015595
117	0.012615
118	0.012607
119	0.012654
120	0.012608
121	0.012654
122	0.012622
123	0.011538
124	0.011423
125	0.011466
126	0.012536
127	0.013796
128	0.017019
129	0.015077
130	0.015081
131	0.016987
132	0.020037
133	0.021934
134	0.021965
135	0.021918
136	0.021991
137	0.021911
138	0.021913
139	0.021974
140	0.021939
141	0.021968
142	0.021946
143	0.020697
144	0.017414
145	0.016900
146	0.016333
147	0.015046
148	0.015088
149	0.016263
150	0.017431
151	0.017486
152	0.017446
153	0.017070
154	0.015070
155	0.015091
156	0.013494
157	0.012663
158	0.012667
159	0.012652
160	0.015481
161	0.017467
162	0.019604
163	0.021969
164	0.021935
165	0.021983
166	0.021977
167	0.021920
168	0.021968
169	0.021928
170	0.021115
171	0.017459
172	0.016611
173	0.015079
174	0.015051
175	0.016529
176	0.017431
177	0.017473
178	0.020205
179	0.021917
180	0.021982
181	0.021936
182	0.021962
183	0.021893
184	0.021761
185	0.017079
186	0.013582
187	0.011881
188	0.011409
189	0.010657
190	0.009934
191	0.010814
192	0.014048
193	0.019497
194	0.021953
195	0.021916
196	0.021966
197	0.021931
198	0.019346
199	0.021903
200	0.019719
201	0.017469
>>> [BENCHMARK] 1024 x 1024 x 1024 	 0.017525 sec 122.537178 GFLOPS
